Isola,Categoria,Nome,Lat,Lon,Voto,Prezzo,Momento,Durata,Distanza,Note,Icona
Fuerteventura,Panorama,Faro de El Tostón,28.715,-14.013,8.5,Gratis,Tramonto,30-60 min,35 min,Da abbinare a El Cotillo.,🌅
Fuerteventura,Escursione,Betancuria,28.424,-14.056,8.6,Gratis,Mattina,2-3 h,1h15,"Paese interno, bello se fate giornata on the road.",🌄
Fuerteventura,Panorama,Mirador de Guise y Ayose,28.449,-14.049,8.8,Gratis,Road trip,20 min,1h10,Vista interna dell’isola.,🌅
Fuerteventura,Attività,Isla de Lobos - Porto Corralejo,28.741,-13.866,10,Ferry 18-25 € / catamarano 60-90 €,Mattina,Mezza giornata,0-5 min,Una delle esperienze migliori da Corralejo.,🏝️
Fuerteventura,Attività,Buggy Tour Corralejo,28.739,-13.867,9.4,70-120 €,Mattina/pomeriggio,2-3 h,0-10 min,"Perfetto per 4 amici, sterrati e paesaggi vulcanici.",🚙
Fuerteventura,Attività,Surf School Corralejo,28.739,-13.869,8.8,45-70 €,Onde permettendo,2-3 h,0-10 min,Ottimo per provare surf da principianti.,🏄
Fuerteventura,Attività,Catamarano Lobos,28.741,-13.866,9.2,60-90 €,Mattina/pranzo,4 h,0-5 min,"Drink, SUP/kayak spesso inclusi.",⛵
Fuerteventura,Attività,Snorkeling Isla de Lobos,28.748,-13.819,9,Incluso in tour / low cost,Mattina,1-2 h,Barca,"Acqua bellissima, ideale con tour Lobos.",🤿
Fuerteventura,Cibo,Centro di Corralejo,28.738,-13.87,8.5,€€,Sera,2 h,0 min,"Zona ristoranti, bar e locali.",🍽️
Fuerteventura,Pratico,Mercadona Corralejo,28.727,-13.869,8,€,Arrivo,30 min,5 min,"Spesa acqua, snack, colazioni.",🛒
Fuerteventura,Serata,Waikiki Beach Club,28.739,-13.868,8.8,Variabile,Notte,Notte,0 min,Riferimento per uscire a Corralejo.,🎉
Fuerteventura,Serata,Music Square Corralejo,28.738,-13.87,8.2,Drink,Dopo cena,Sera,0 min,"Vari locali vicini, buona per iniziare la serata.",🎶
Fuerteventura,Serata,Rock Island Bar,28.738,-13.869,8.1,Drink,Sera,Sera,0 min,"Live music, più chill.",🎸
Fuerteventura,Serata,Avenida Nuestra Señora del Carmen,28.736,-13.869,8,Variabile,Sera,Sera,0 min,Passeggiata centrale piena di bar e locali.,🍻
Fuerteventura,Serata,Sunset Lounge Corralejo,28.741,-13.866,8.5,Cocktail,Tramonto,1-2 h,0-5 min,Buono per aperitivo zona porto/lungomare.,🍹
